Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,672192.465,679754.771,686055.109,690098.1,681565.051,668145.098,654332.365,632237.783,625045.766,620734.24,629976,651282,674421.074,683639.046,699744.505,719216.174,731870.459,755297.943,772801.179,785331.072,793770.794,802771.487,822011.449,841734.985,863667.45,907474.288,965006.238,1042327.622,1117778.582,1192317.222,1276137.155,1418382.291,1537483.846,1634102.512,1694591.799,1753091.199,1811213.822,1868251.319,1937776.814,1989923.936,2073310.704,2138844.399,2206295.346,2277378.925,2353898.585
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.484,,,,,,,,,,,
Albania,78.949,78.949,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,63,75,80.954,80.954,80.954,80.954,80.954,52.455,32.199,30.9,20.112,24,28,66,97.566,105,107.647,107.391,99.295,92.092,96.833,93.876,86.767,86.349,65.689,60.08,60.08,56.162,61.915,48.208,50.596,48.765,47.156,44.922,44.922
Algeria,1872.119,1810.698,1890.338,1976.452,1976.387,1984.586,1943.157,1018.51,1043.03,1052.551,964,1062,1093.363,1093.363,1093.063,1093.063,1111.125,1110.949,1110.92,1110.761,1110.761,1063,1068,1011,938.499,913,881.627,777.292,743.928,755.478,764.563,793.219,807.369,754.197,754.997,802.02,769.141,748.934,654.458,666.571,673.388,673.354,651.703,651.703,651.703
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.902,0.902,2.102,,,,,,,,,,,,,,,
Angola,95.971,96.888,118.176,132.384,133.416,138.555,127.431,127.431,125.292,121.912,122,122,122.767,123.479,116.072,116.347,116.126,104.343,79.753,82.496,69.697,70,65,51,32.134,35,42.77,47.181,47.404,50.739,52.212,315.718,37.411,314.754,320.595,320.919,321.032,317.733,317.733,317.212,320.947,321.441,322.291,322.291,322.291
Anguilla,0.525,1.46,2.711,4.191,5.364,5.534,,5.612,5.524,5.408,4,4,6.145,6.145,4.688,3.628,3.628,3.224,2.693,1.998,1.998,1.3,1,1,0.904,1,0.904,0.904,0.904,0.904,0.904,0.904,0.254,0.254,0.254,0.254,0.254,0.254,0.254,3.592,3.592,3.592,0.254,0.254,0.254
Antigua and Barbuda,0.25,0.25,0.443,0.443,0.443,0.443,,1.048,102.701,555.07,696,608,827.884,1281.375,1624.775,1982.504,2441.189,2842.205,2916.33,3625.227,4677.636,5462,6071,6541,7851.098,9093,9466.366,10468.427,11182.755,12454.924,13033.629,12585.482,14459.856,14066.19,12956.257,12359.327,11220,10118.545,8530.63,7477.163,6620.65,6397.611,6272.701,6393.088,6497.599
Argentina,3371.761,3676.632,3308.286,3247.081,3563.29,3498.236,,3171.154,2853.308,2834.008,2764,2872,1991.012,1207.713,1038.036,949.232,757.515,724.007,729.556,630.197,599.303,384,312,481,488.849,491,917.56,1162.878,1143.263,1066.067,980.899,593.993,511.235,525.3,509.548,652.307,636.069,581.987,570.144,620.724,843.593,886.847,861.829,858.987,874.357
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,0.114,0.114,0.114,0.114,0.114,,,,,,,,,0.114,0.114,0.114,0.114
Australia,2403.644,2407.727,2648.275,2825.42,3013.89,3254.001,3094.094,3653.57,3701.273,3648.909,3707,3730,3804.661,3952.018,4073.711,4217.458,3975.879,3832.527,3649.494,2893.691,2686.181,2356,2319,2263,2277.322,2376,2279.335,2125.16,2144.1,2145.977,2171.112,2110.988,1816.199,1726.844,1781.976,1938.011,1942.533,1911.316,2242.576,2464.667,2421.686,2597.123,2592.892,2592.547,2594.301
Austria,126.89,136.286,96.894,167.019,195.887,215.385,226.459,210.632,337.855,350.617,355,234,211.412,226.142,254.442,203.25,130.04,130.037,113.706,97.559,100.323,121,46,38,41.237,44,44.437,44.437,18.075,18.075,11.675,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,,489.691,529.081,476.64,504.135,492.631,498.929,506.553,507.498,503,502,503,508.145,552,568.285,601.959,610.987,634.752,662.553,668.868,665.19,688.003,690.93,725.633,706.843,666.929,707.073,758.314,740.434,732.942,747.985,765.341,1106.672
Bahamas,165.05,119.978,242.548,568.231,1184.415,5681.862,6862.347,10600.356,15695.84,15020.793,19228,22365,31628.388,33837.183,34181.516,35740.833,36716.98,38242.885,39287.545,42476.83,44941.434,46453,48860,49601,47750.273,48037,51922.212,55394.862,59744.355,62013.49,64109.098,70469.902,71473.314,73325.373,73056.531,74152.812,79846.364,80272.822,76908.471,77812.224,77633.505,74303.203,73143.906,72053.737,72437.937
